BILLIARD,GOLF,X.1500M,X.2KROW,X.12MINTR,BENCH,CURL,MAXPUSHU
9.32E-03,-1.52679352,-0.948317627,-0.164770147,-0.052039222,1.359305633,-0.837663315,-0.047832705
-7.45E-01,-0.848887019,0.684906809,0.145562276,0.134815526,-0.490601768,0.221482323,0.38120977
8.24E-01,0.551943596,-0.684202439,-0.515249302,-0.240145984,-0.818884475,-0.620122514,-1.132139806
-1.42E-01,0.953760875,0.931270003,-1.027523576,-0.897911358,-0.973227128,-1.129767025,-0.330350373
3.63E-01,-0.566988606,0.975730821,1.220018038,0.249520874,1.22931065,-0.034629105,0.407035879
4.39E-01,0.059751682,-0.68280771,0.633651824,0.307132672,0.107321068,-0.818780257,-0.154812276
-9.24E-01,-0.862655117,2.210933852,0.109827438,0.770633002,-1.650096244,-0.508931649,0.137494856
7.92E-01,-0.039874663,0.371741761,0.244637618,0.952222053,0.298562269,0.495823826,0.824374951
6.47E-02,-0.782903054,-0.93332778,-0.508166479,-1.767848854,-0.441503651,0.757203694,-0.463216359
-5.63E-01,0.210392665,-0.657559746,-0.061496962,-0.505054261,1.218110584,-0.290461574,-0.838908876
-1.01E+00,-1.026327189,2.043635442,1.395544704,0.698065374,0.682495567,0.562079872,0.180499218
2.62E-01,1.523298197,-0.472620289,0.984385483,0.574741254,0.062261821,-0.759853426,0.521360733
7.08E-01,1.94626713,-0.296780283,-1.172879102,0.8717041,-0.554459294,0.509768768,-1.248725465
-2.79E-01,-0.598962424,-0.363367112,1.846115161,0.575473709,0.758328272,0.73575133,2.195034174
-1.21E+00,-0.600143275,-0.507290035,-0.454821649,-1.838345576,0.462618387,1.596196272,-0.302035462
4.29E-02,0.726520012,-0.597677474,-1.763716501,-2.672178726,-0.610521379,-0.864999684,-0.419925174
8.63E-02,-0.644391919,-0.432913185,-1.622573688,-0.830949029,-1.21714514,-1.14404472,-1.39949603
-1.41E+00,-2.313655114,-0.283779497,0.519233329,-0.362157729,0.304547479,-0.440896286,0.287433855
-5.45E-01,-0.244677407,-0.831490493,0.333545735,1.445511278,-0.111651519,-0.41334814,0.885180698
5.73E-01,1.399838144,0.331452396,0.859914929,-0.474633907,-0.861425127,-0.431164565,-0.628674537
